epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.99721,1.84067,3.60414,1.82766,0.0036,0.329,0.03553,0.01658,1.61352,3.57409,1.83079,0.078462,0.000462,0.000462
2,5.32811,1.74099,3.5217,1.68762,0.00358,0.33138,0.06654,0.03018,1.55679,3.5263,1.73402,0.0559423,0.000942322,0.000942322
3,7.68745,1.63963,3.34515,1.63187,0.00471,0.40953,0.1052,0.05171,1.55618,3.36361,1.69372,0.0334199,0.00141991,0.00141991
4,9.94052,1.63567,3.01808,1.56469,0.79211,0.10179,0.17993,0.0893,1.60017,2.96749,1.65585,0.0108948,0.00189476,0.00189476
5,12.116,1.64425,2.595,1.57979,0.70995,0.28777,0.25333,0.12697,1.68885,2.44835,1.71627,0.0020762,0.0020762,0.0020762
6,14.2718,1.61773,2.27285,1.52321,0.71505,0.31322,0.30806,0.14846,1.66347,2.30364,1.69669,0.00207025,0.00207025,0.00207025
7,16.9584,1.59658,2.12173,1.50123,0.74918,0.3034,0.31553,0.15087,1.72355,2.26553,1.71366,0.0020643,0.0020643,0.0020643
8,19.4282,1.52936,2.04468,1.45974,0.75062,0.35816,0.36334,0.17034,1.75702,2.18389,1.72746,0.00205835,0.00205835,0.00205835
9,21.901,1.60707,1.96018,1.47328,0.79782,0.34039,0.38517,0.19366,1.73834,2.09471,1.70458,0.0020524,0.0020524,0.0020524
10,24.352,1.53476,1.85472,1.44934,0.70089,0.3715,0.34036,0.16532,1.78301,2.21872,1.82775,0.00204645,0.00204645,0.00204645
11,26.8321,1.50831,1.80849,1.43133,0.41683,0.42622,0.38828,0.19565,1.76633,2.11382,1.74981,0.0020405,0.0020405,0.0020405
12,29.2581,1.51411,1.7679,1.42399,0.51386,0.41412,0.3678,0.17693,1.78689,2.06822,1.80121,0.00203455,0.00203455,0.00203455
13,31.6884,1.49461,1.66851,1.40729,0.38872,0.38761,0.37766,0.19106,1.75092,1.96448,1.74288,0.0020286,0.0020286,0.0020286
14,34.1496,1.46245,1.61024,1.39878,0.53831,0.4724,0.43335,0.21675,1.71992,1.89411,1.71186,0.00202265,0.00202265,0.00202265
15,36.5749,1.46588,1.6027,1.37618,0.45853,0.41098,0.39959,0.19151,1.7143,2.05499,1.70482,0.0020167,0.0020167,0.0020167
16,39.1175,1.40894,1.5391,1.37091,0.57167,0.36311,0.3998,0.19378,1.74019,2.21851,1.73825,0.00201075,0.00201075,0.00201075
17,41.5623,1.44147,1.54996,1.41006,0.40021,0.42987,0.40002,0.20865,1.71193,1.92263,1.6903,0.0020048,0.0020048,0.0020048
18,43.9586,1.45437,1.53087,1.37199,0.46805,0.3988,0.37876,0.19081,1.72577,1.93095,1.72752,0.00199885,0.00199885,0.00199885
19,46.3463,1.44504,1.4633,1.34176,0.43625,0.5003,0.4136,0.21109,1.74095,1.83746,1.73126,0.0019929,0.0019929,0.0019929
20,48.7704,1.42425,1.45719,1.357,0.42361,0.45015,0.39909,0.20003,1.7325,1.89777,1.73515,0.00198695,0.00198695,0.00198695
21,51.1859,1.37423,1.42993,1.35883,0.59693,0.43222,0.46159,0.23361,1.71931,1.75733,1.68304,0.001981,0.001981,0.001981
22,53.5331,1.36794,1.43077,1.3454,0.5422,0.44652,0.44285,0.22391,1.74406,1.76286,1.68799,0.00197505,0.00197505,0.00197505
23,55.9491,1.35094,1.3956,1.32758,0.50128,0.47613,0.43114,0.21106,1.75885,1.78248,1.69805,0.0019691,0.0019691,0.0019691
24,58.2121,1.35481,1.41741,1.3617,0.40707,0.4914,0.38255,0.18829,1.75635,1.88916,1.71601,0.00196315,0.00196315,0.00196315
25,60.5503,1.37718,1.4235,1.34617,0.47553,0.45853,0.40136,0.18958,1.78796,1.86438,1.75348,0.0019572,0.0019572,0.0019572
26,62.828,1.34928,1.37086,1.33439,0.44271,0.51269,0.43485,0.20898,1.73623,1.76146,1.73169,0.00195125,0.00195125,0.00195125
27,65.0293,1.37275,1.32995,1.29803,0.41997,0.46282,0.40471,0.19453,1.75797,1.83579,1.74925,0.0019453,0.0019453,0.0019453
28,67.2785,1.31844,1.304,1.31259,0.4177,0.50417,0.42331,0.21106,1.73129,1.7373,1.71711,0.00193935,0.00193935,0.00193935
29,69.8037,1.33961,1.33076,1.29914,0.48268,0.56174,0.47622,0.22204,1.7213,1.76478,1.70597,0.0019334,0.0019334,0.0019334
30,72.062,1.35042,1.29366,1.28734,0.57532,0.50485,0.4556,0.21751,1.74634,1.85265,1.72216,0.00192745,0.00192745,0.00192745
31,74.2082,1.33703,1.29166,1.28075,0.61547,0.50936,0.49199,0.23514,1.70503,1.7797,1.71871,0.0019215,0.0019215,0.0019215
32,76.3593,1.35202,1.29193,1.32472,0.50433,0.52141,0.46697,0.23724,1.70504,1.73548,1.74604,0.00191555,0.00191555,0.00191555
33,78.5246,1.32032,1.27981,1.29768,0.62855,0.49195,0.47745,0.22403,1.74418,1.78071,1.77936,0.0019096,0.0019096,0.0019096
34,80.6613,1.32456,1.26161,1.29975,0.57078,0.52452,0.43954,0.20559,1.76257,1.8354,1.76105,0.00190365,0.00190365,0.00190365
35,83.0681,1.29263,1.25615,1.30244,0.55793,0.50527,0.48687,0.22854,1.77073,1.74207,1.77205,0.0018977,0.0018977,0.0018977
36,85.3052,1.32723,1.27279,1.29776,0.50189,0.51605,0.43481,0.21271,1.74491,1.73698,1.73817,0.00189175,0.00189175,0.00189175
37,87.4392,1.30087,1.23803,1.29147,0.53546,0.5039,0.4858,0.23146,1.74627,1.67824,1.74101,0.0018858,0.0018858,0.0018858
38,89.5979,1.25853,1.19193,1.25448,0.61888,0.53992,0.49497,0.23635,1.70575,1.69707,1.71011,0.00187985,0.00187985,0.00187985
39,91.8517,1.25274,1.20095,1.26648,0.47521,0.56802,0.47817,0.23427,1.74376,1.64982,1.70559,0.0018739,0.0018739,0.0018739
40,94.1253,1.24124,1.21002,1.27029,0.44174,0.50345,0.42344,0.20638,1.75282,1.70958,1.71107,0.00186795,0.00186795,0.00186795
41,96.3404,1.21375,1.14244,1.24378,0.49868,0.49057,0.44606,0.2181,1.78606,1.72866,1.72993,0.001862,0.001862,0.001862
42,98.6531,1.26161,1.1702,1.25635,0.48428,0.53172,0.45652,0.21937,1.72815,1.72377,1.74064,0.00185605,0.00185605,0.00185605
43,100.845,1.2148,1.14911,1.24418,0.47465,0.50984,0.43539,0.20481,1.75292,1.73731,1.75641,0.0018501,0.0018501,0.0018501
44,102.86,1.2291,1.13094,1.21675,0.53853,0.4614,0.43739,0.20893,1.73509,1.74681,1.75018,0.00184415,0.00184415,0.00184415
45,104.925,1.20654,1.12128,1.23347,0.59618,0.47228,0.46217,0.22628,1.72499,1.71679,1.77154,0.0018382,0.0018382,0.0018382
46,107.336,1.24378,1.15771,1.23137,0.49781,0.48453,0.42706,0.2081,1.78898,1.78997,1.79473,0.00183225,0.00183225,0.00183225
47,109.495,1.18199,1.12668,1.21714,0.53239,0.42032,0.40935,0.21548,1.73633,1.68092,1.73941,0.0018263,0.0018263,0.0018263
48,111.589,1.22077,1.11421,1.23013,0.52992,0.53258,0.46632,0.21531,1.78126,1.72183,1.82965,0.00182035,0.00182035,0.00182035
49,113.759,1.19344,1.10617,1.21715,0.56213,0.53296,0.47053,0.22499,1.76272,1.68578,1.76014,0.0018144,0.0018144,0.0018144
50,115.854,1.21814,1.10411,1.22954,0.5092,0.55732,0.46117,0.22183,1.78228,1.66845,1.74877,0.00180845,0.00180845,0.00180845
51,118.113,1.22205,1.10817,1.22796,0.62727,0.43462,0.46605,0.22079,1.76877,1.65,1.77268,0.0018025,0.0018025,0.0018025
52,120.268,1.24558,1.14325,1.26481,0.51326,0.57701,0.46402,0.22426,1.8274,1.6593,1.8436,0.00179655,0.00179655,0.00179655
53,122.351,1.18763,1.06657,1.22018,0.53731,0.57008,0.47848,0.22151,1.79471,1.63306,1.77548,0.0017906,0.0017906,0.0017906
54,124.425,1.18791,1.06968,1.21841,0.51454,0.56081,0.45007,0.21701,1.82272,1.68,1.78259,0.00178465,0.00178465,0.00178465
55,126.598,1.16674,1.06293,1.22675,0.48292,0.49467,0.42575,0.21406,1.78793,1.72271,1.75152,0.0017787,0.0017787,0.0017787
56,128.752,1.23221,1.09831,1.24444,0.44826,0.50272,0.41334,0.19972,1.79115,1.84255,1.77115,0.00177275,0.00177275,0.00177275
57,131.047,1.20698,1.08395,1.23553,0.54688,0.54405,0.46573,0.22468,1.71422,1.7164,1.71128,0.0017668,0.0017668,0.0017668
58,133.233,1.20866,1.08784,1.23147,0.49776,0.54455,0.43909,0.21874,1.7379,1.72707,1.73813,0.00176085,0.00176085,0.00176085
59,135.402,1.1449,1.03624,1.18939,0.53413,0.48885,0.42863,0.21557,1.76923,1.75288,1.74992,0.0017549,0.0017549,0.0017549
60,137.539,1.15144,1.03891,1.18811,0.52066,0.51012,0.42347,0.21262,1.76971,1.68204,1.77961,0.00174895,0.00174895,0.00174895
61,139.607,1.13202,1.03042,1.20412,0.48599,0.51894,0.40198,0.19961,1.77869,1.68677,1.80197,0.001743,0.001743,0.001743
62,141.844,1.12519,1.00709,1.197,0.46946,0.48667,0.37741,0.18741,1.80131,1.77212,1.83912,0.00173705,0.00173705,0.00173705
63,144.073,1.12793,1.01532,1.19174,0.53727,0.44777,0.41383,0.21315,1.76458,1.69589,1.79762,0.0017311,0.0017311,0.0017311
64,146.237,1.14437,0.99008,1.18503,0.58043,0.48781,0.44747,0.2143,1.80812,1.62209,1.7954,0.00172515,0.00172515,0.00172515
65,148.327,1.15987,1.01213,1.1923,0.60626,0.44718,0.43347,0.21768,1.82481,1.68498,1.82864,0.0017192,0.0017192,0.0017192
