epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.27387,2.7524,3.83829,2.63161,3e-05,0.00353,2e-05,0,nan,nan,nan,0.0802,0.0022,0.0022
2,12.0375,2.59167,3.23346,2.62516,0,0,0,0,nan,nan,nan,0.0594852,0.00448515,0.00448515
3,15.3978,2.53259,3.2246,2.7022,0,0,0,0,nan,nan,nan,0.0387551,0.00675512,0.00675512
4,18.8839,2.49941,3.18886,2.69595,0,0,0,0,nan,nan,nan,0.0180099,0.00900991,0.00900991
5,21.9819,2.43269,3.22053,2.6387,0.3337,0.05115,0.00021,8e-05,4.11832,inf,7.72979,0.009868,0.009868,0.009868
6,25.0317,2.35958,3.16079,2.59569,8e-05,0.01235,4e-05,2e-05,4.7932,inf,18.8681,0.009835,0.009835,0.009835
7,27.4832,2.40777,3.08612,2.56744,0,0,0,0,0,0,0,0.009802,0.009802,0.009802
8,32.5542,2.36902,3.04866,2.49948,0.04135,0.1359,0.01777,0.00631,2.85515,inf,3.27376,0.009769,0.009769,0.009769
9,36.2956,2.33069,3.03063,2.51276,0.42411,0.04586,0.03066,0.00969,2.61691,18.1117,3.07412,0.009736,0.009736,0.009736
10,39.2963,2.30887,2.99272,2.46806,0.09059,0.05644,0.04189,0.01308,2.60313,7.45319,2.88391,0.009703,0.009703,0.009703
11,42.7543,2.29241,2.93104,2.45054,0.7658,0.06173,0.0445,0.0163,2.67678,9.3593,2.91287,0.00967,0.00967,0.00967
12,45.7605,2.28369,2.94231,2.42951,0.48655,0.06129,0.03977,0.01253,2.52477,7.01884,2.9299,0.009637,0.009637,0.009637
13,48.4692,2.3231,2.90337,2.4285,0.79638,0.05996,0.05285,0.01897,2.42695,4.49041,2.72979,0.009604,0.009604,0.009604
14,51.299,2.26069,2.83971,2.38789,0.8011,0.0582,0.06646,0.02005,2.40469,4.02089,2.72852,0.009571,0.009571,0.009571
15,54.0882,2.2423,2.87209,2.37472,0.54311,0.0792,0.05372,0.01747,2.4563,4.74016,2.77831,0.009538,0.009538,0.009538
16,56.942,2.25253,2.85952,2.38883,0.45755,0.05343,0.0487,0.01518,2.51189,4.1421,2.95483,0.009505,0.009505,0.009505
17,59.7149,2.24865,2.86747,2.40943,0.43246,0.05115,0.04662,0.01455,2.41899,4.42022,2.7584,0.009472,0.009472,0.009472
18,62.3854,2.20835,2.84936,2.34989,0.47677,0.13359,0.07908,0.02293,2.3864,3.94876,2.7241,0.009439,0.009439,0.009439
19,65.5335,2.23798,2.81062,2.33722,0.48753,0.12923,0.06931,0.02022,2.37335,3.67746,2.67167,0.009406,0.009406,0.009406
20,68.1733,2.21305,2.8234,2.37854,0.42269,0.10644,0.06577,0.02223,2.46761,3.61776,2.71227,0.009373,0.009373,0.009373
21,70.8571,2.20164,2.74617,2.31519,0.43105,0.15069,0.06338,0.02257,2.41979,4.17551,2.71343,0.00934,0.00934,0.00934
22,73.8513,2.25929,2.70622,2.29919,0.41135,0.1253,0.04933,0.01933,2.38937,4.16639,2.62714,0.009307,0.009307,0.009307
23,76.5164,2.16526,2.79326,2.29716,0.48382,0.15713,0.08491,0.0249,2.41978,3.47132,2.67292,0.009274,0.009274,0.009274
24,79.5391,2.18447,2.78634,2.32686,0.45973,0.17071,0.08729,0.02815,2.33697,3.67852,2.61981,0.009241,0.009241,0.009241
25,82.4897,2.1683,2.72492,2.29733,0.48323,0.13604,0.07051,0.01983,2.46866,5.37207,2.84983,0.009208,0.009208,0.009208
26,85.2498,2.16675,2.67958,2.30046,0.50626,0.1457,0.10327,0.03622,2.39549,2.95474,2.64101,0.009175,0.009175,0.009175
27,88.1859,2.17204,2.67344,2.28418,0.48306,0.15928,0.10635,0.03602,2.38018,3.15426,2.60964,0.009142,0.009142,0.009142
28,90.9284,2.17385,2.66222,2.28224,0.48337,0.16465,0.0929,0.02916,2.3414,2.91055,2.58284,0.009109,0.009109,0.009109
29,93.4463,2.15411,2.66933,2.25804,0.47829,0.13282,0.09563,0.03046,2.41479,2.9721,2.65166,0.009076,0.009076,0.009076
30,96.1884,2.16769,2.63634,2.24884,0.40211,0.11449,0.05976,0.01897,2.55481,3.6365,2.79673,0.009043,0.009043,0.009043
31,98.9815,2.13838,2.64708,2.27131,0.50292,0.1625,0.1013,0.03265,2.3172,4.64636,2.55865,0.00901,0.00901,0.00901
32,101.647,2.15627,2.58505,2.24581,0.45554,0.18214,0.09019,0.02972,2.29914,3.90107,2.53953,0.008977,0.008977,0.008977
